start,end,videostartstamp,videoendstamp,duration
2024-09-05 13:05:17,2024-09-05 13:05:17,00:09:35,00:10:17,41.68
2024-09-05 13:15:58,2024-09-05 13:15:58,00:20:23,00:20:58,35.38
