start,end,videostartstamp,videoendstamp,duration
2024-09-05 13:56:13,2024-09-05 13:56:13,00:03:50,00:04:02,11.78
2024-09-05 13:56:53,2024-09-05 13:56:53,00:04:24,00:04:43,18.44
2024-09-05 14:15:26,2024-09-05 14:15:26,00:22:56,00:23:15,19.57
2024-09-05 14:17:32,2024-09-05 14:17:32,00:25:08,00:25:21,13.37
