start,end,videostartstamp,videoendstamp,duration
2024-09-05 12:45:42,2024-09-05 12:45:42,00:03:42,00:04:07,25.36
2024-09-05 12:48:42,2024-09-05 12:48:42,00:06:46,00:07:07,21.72
2024-09-05 12:59:17,2024-09-05 12:59:17,00:17:17,00:17:42,25.51
