start,end,videostartstamp,videoendstamp,duration
2024-09-05 13:00:06,2024-09-05 13:00:06,00:07:46,00:08:07,20.30
2024-09-05 13:15:08,2024-09-05 13:15:08,00:22:34,00:23:09,34.91
2024-09-05 13:31:52,2024-09-05 13:31:52,00:39:34,00:39:53,19.76
