turn_index,turnLength,lost_distance,effectiveness,exit_lost_distance,exitEffectiveness
38,21.0,-132.93575313362177,1.7663364434253017,156.19491934204672,-0.9425764863688456
28,29.0,-40.93210168044487,1.1704701694619475,305.45119408233114,-0.8390529601891863
30,29.0,-40.93210168044487,1.1704701694619475,252.18488932196217,-0.8687366349850596
26,17.0,-4.218560986538119,1.1488821692035922,7.998742724689142,2.4278263616169378
33,37.0,-23.59835664800508,1.115199735144717,-5.414630238295672,0.9402644376514153
0,19.0,0.8315391810008634,0.9956479412773473,127.65218114548534,-1.016200886428083
81,31.0,17.79376079305041,0.9665046979494911,170.13035617496666,-0.9104152933842351
4,31.3,26.20147805372136,0.9417236758615319,162.73404689897808,-0.918095476503859
21,25.0,35.608173251758444,0.9153427469670274,189.4949836699485,-0.8976716930745794
19,25.1,40.71719985809426,0.8829492032917272,179.85276807816922,-0.9631768124879738
8,28.0,52.603811600122015,0.8771490654445512,278.1077749306555,-0.9001340480542774
71,42.1,57.11442037485284,0.8514062825055858,-24.506092778504836,0.9005016095383673
6,24.0,75.44059192782748,0.8118408308755686,330.2561592794657,-0.8016840684517006
49,36.0,85.87769047307478,0.8015443710726722,305.5748869892111,-1.0295071205749158
10,39.0,101.98845034015375,0.7749010921633745,279.31464799632704,-1.0979101494632804
77,38.0,147.9138124150287,0.6628357653934436,27.75479200538189,-2.7824192818471647
45,24.3,89.46027474701557,0.6508427679537634,-33.511050557761585,-0.21728566840384492
63,25.0,105.39640352537683,0.6081701767212602,-11.799435878050133,0.9348018127616238
72,29.0,165.15610218204276,0.5794219541111906,-58.17978535082091,-0.2926881755437606
42,25.0,137.06571919099312,0.5716417698519632,12.272550930591038,2.507019440397665
80,31.0,188.93102470666867,0.03776944298527173,0.16542594693831347,1.0030709009342573
83,26.0,97.23766723868245,0.036250821551647446,3.5230551920768907,1.4671315586750426
67,39.0,-647.057966722504,-0.2854645151454228,29.69204386046139,0.22245797395895928
61,32.0,-88.55308540133214,-0.31376125771169694,65.83601828183605,-0.6140624435036288
55,24.0,-301.3473365320009,-0.3849692809534055,293.27470394428707,-0.8353731510588497
73,29.0,-620.2206134903962,-0.5794219541111906,21.636277366600236,0.492183139075495
69,24.8,-403.5153687618358,-0.6443504991510526,286.76714384444654,-0.9928783646076509
75,36.9,-553.1540116968921,-0.6700402238483962,371.61559943746505,-0.9015505544951028
11,45.0,-824.9446861230255,-0.6754687966666171,37.17315613691199,2.4357817567308193
54,34.0,-953.7982252363815,-0.7222023286136614,21.180646673274648,-0.8304707648037746
76,37.0,-788.2974903740944,-0.7227384066494581,177.4486919464266,-20.69383285126136
60,22.0,-789.8285317932404,-0.7487828293022346,41.00132321908072,-0.667809574758439
36,35.0,-690.5545882226802,-0.7823801950177928,125.81923820419968,-0.8674220475218662
50,36.0,-779.5821701239981,-0.8015443710726722,4.246631204261206,1.0296888831836775
48,36.0,-779.5821701239981,-0.8015443710726722,5.315236737820328,1.0336206598689275
53,42.0,-492.1333847359883,-0.8297441805666761,485.30110766490225,-0.81848093816034
20,21.0,-591.1042430889769,-0.8715571982603663,-8.60851612593737,0.9271314593072434
35,36.0,-462.94374507262967,-0.878011602921201,320.07410935350106,-0.8781952273766752
3,28.7,-619.5451140010496,-0.8823038084308387,-16.399189075850032,0.8779816210179785
9,21.0,-491.1631008886007,-0.9072156461364561,-4.27188005393576,0.9580870797001132
56,41.0,-9.227934433581073,-0.9698884974596998,35.36334914645292,0.31872717799754485
44,31.7,-657.0086868162373,-0.9908219774140399,-12.233258942950556,0.9040223346169185
66,24.0,-252.4468175625876,-1.0073539389782988,250.78343783148335,-0.8966252156664638
7,26.0,-617.4146979953244,-1.0137139666026624,-13.908595285711044,0.9287792284012393
59,43.0,-503.1179474394805,-1.021075975460051,627.1081048418911,-0.8660892805861113
5,29.999,-660.6253955914667,-1.155624659574389,-25.885760904994072,0.8257134881437861
29,29.0,-521.1580768130825,-1.1704701694619475,-21.281544577099126,0.8535641201880967
39,20.0,-378.0048409053205,-1.2071879599514665,-14.797982996458387,0.8541731382625568
