turn_index,turn_type,start_time,peak_time,end_time
101,Tack,1709195523.374,1709195528.374,1709195533.374
102,Jibe,1709195523.378,1709195528.378,1709195533.378
103,Jibe,1709195523.385,1709195528.385,1709195533.385
104,Tack,1709195523.394,1709195528.394,1709195533.394
105,Tack,1709195523.402,1709195528.402,1709195533.402
106,Jibe,1709195523.408,1709195528.408,1709195533.408
107,Jibe,1709195523.422,1709195528.422,1709195533.422
108,Tack,1709195523.438,1709195528.438,1709195533.438
109,Tack,1709195523.572,1709195528.572,1709195533.572
110,Jibe,1709195523.597,1709195528.597,1709195533.597
111,Tack,1709195523.615,1709195528.615,1709195533.615
112,Tack,1709195523.632,1709195528.632,1709195533.632
113,Jibe,1709195523.643,1709195528.643,1709195533.643
114,Jibe,1709195523.657,1709195528.657,1709195533.657
115,Tack,1709195523.678,1709195528.678,1709195533.678
116,Tack,1709195523.691,1709195528.691,1709195533.691
117,Jibe,1709195523.712,1709195528.712,1709195533.712
118,Jibe,1709195523.73,1709195528.73,1709195533.73
119,Tack,1709195523.736,1709195528.736,1709195533.736
120,Tack,1709195523.745,1709195528.745,1709195533.745
121,Tack,1709195524.136,1709195529.136,1709195534.136
122,Tack,1709195524.138,1709195529.138,1709195534.138
123,Tack,1709195524.15,1709195529.15,1709195534.15
124,Tack,1709195524.152,1709195529.152,1709195534.152
